benchmark,config,status,solved,sat,unsat,noproperty,best,time_cpu,memory
array-crafted/mapsum5.yml,uautomizer_bitprecise,ee,0,0,0,0,0,266.3,2480.4
array-crafted/mapsum5.yml,uautomizer_default,to,0,0,0,0,0,900.6,1234.2
array-crafted/zero_sum1.yml,cbmc_default,ee,0,0,0,0,0,875.1,126.8
array-crafted/zero_sum1.yml,esbmc_default,to,0,0,0,0,0,900.8,134.2
array-crafted/zero_sum1.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.5,1420.7
array-crafted/zero_sum1.yml,uautomizer_default,to,0,0,0,0,0,900.3,2225.1
array-crafted/zero_sum2.yml,cbmc_default,ee,0,0,0,0,0,874.8,114.8
array-crafted/zero_sum2.yml,esbmc_default,to,0,0,0,0,0,900.8,127.8
array-crafted/zero_sum2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.7,1696.3
array-crafted/zero_sum2.yml,uautomizer_default,to,0,0,0,0,0,900.4,1845.1
array-crafted/zero_sum3.yml,cbmc_default,ee,0,0,0,0,0,875.2,93.5
array-crafted/zero_sum3.yml,esbmc_default,to,0,0,0,0,0,900.8,128.4
array-crafted/zero_sum3.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,2089.7
array-crafted/zero_sum3.yml,uautomizer_default,to,0,0,0,0,0,900.9,1980.9
array-crafted/zero_sum4.yml,cbmc_default,ee,0,0,0,0,0,875.2,96.9
array-crafted/zero_sum4.yml,esbmc_default,to,0,0,0,0,0,900.8,148.6
array-crafted/zero_sum4.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.1,1966.0
array-crafted/zero_sum4.yml,uautomizer_default,to,0,0,0,0,0,901.3,2706.3
array-crafted/zero_sum5.yml,cbmc_default,ee,0,0,0,0,0,875.2,86.1
array-crafted/zero_sum5.yml,esbmc_default,to,0,0,0,0,0,900.8,147.7
array-crafted/zero_sum5.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.1,2234.8
array-crafted/zero_sum5.yml,uautomizer_default,to,0,0,0,0,0,900.4,1970.5
array-crafted/zero_sum_const1.yml,cbmc_default,ee,0,0,0,0,0,645.9,12774.9
array-crafted/zero_sum_const1.yml,esbmc_default,to,0,0,0,0,0,900.8,180.4
array-crafted/zero_sum_const1.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,921.0
array-crafted/zero_sum_const1.yml,uautomizer_default,to,0,0,0,0,0,901.1,1389.0
array-crafted/zero_sum_const2.yml,cbmc_default,ee,0,0,0,0,0,661.7,12778.2
array-crafted/zero_sum_const2.yml,esbmc_default,to,0,0,0,0,0,900.8,192.4
array-crafted/zero_sum_const2.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.6,1011.3
array-crafted/zero_sum_const2.yml,uautomizer_default,to,0,0,0,0,0,900.3,1947.9
array-crafted/zero_sum_const3.yml,cbmc_default,ee,0,0,0,0,0,673.7,12794.9
array-crafted/zero_sum_const3.yml,esbmc_default,to,0,0,0,0,0,900.8,205.5
array-crafted/zero_sum_const3.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.0,1369.7
array-crafted/zero_sum_const3.yml,uautomizer_default,to,0,0,0,0,0,901.2,2139.2
array-crafted/zero_sum_const4.yml,cbmc_default,ee,0,0,0,0,0,657.1,12850.4
array-crafted/zero_sum_const4.yml,esbmc_default,to,0,0,0,0,0,900.8,218.4
array-crafted/zero_sum_const4.yml,uautomizer_bitprecise,to,0,0,0,0,0,900.3,1707.4
array-crafted/zero_sum_const4.yml,uautomizer_default,to,0,0,0,0,0,901.1,1629.8
array-crafted/zero_sum_const5.yml,cbmc_default,ee,0,0,0,0,0,644.6,12901.2
array-crafted/zero_sum_const5.yml,esbmc_default,to,0,0,0,0,0,900.8,226.8
array-crafted/zero_sum_const5.yml,uautomizer_bitprecise,to,0,0,0,0,0,901.1,1841.3
array-crafted/zero_sum_const5.yml,uautomizer_default,to,0,0,0,0,0,903.3,2533.0
